Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,FVG_Size,FVG_Type_Encoded,OB_Type_Encoded,Recovery_Type_Encoded,Close_lag1,Close_lag2,Close_lag3
2001-01-16,-2.193169845728541,-2.1939501335751155,-2.191764708598534,-2.193053093607348,-0.1895747492650999,-2.1741820601440156,-2.171895566555656,-2.183191177470255,-2.1774282961043534,-1.6384347827799495,-0.3992496797122285,-0.33416516329181856,-0.2659867933257194,-2.1786169779487707,-2.1741820601440156,-2.164217805185315,-0.32167888970955566,0,2,0,-2.191772067064679,-2.191672888243449,-2.1899982068090282
2001-01-17,-2.1934318210327226,-2.1942105157548406,-2.1920285136655,-2.1933150687940888,-0.1895747492650999,-2.175128439154358,-2.171932536582162,-2.1846098876241453,-2.17840730617051,-1.6549875494251582,-0.41506980933166726,-0.35618466522984443,-0.25218518634971887,-2.178369826229595,-2.175128439154358,-2.166421596841975,-0.28837218282230065,1,2,0,-2.1933446125595375,-2.1919350397033677,-2.1918335150784665
2001-01-18,-2.1908114282465756,-2.191606058103672,-2.189389818783222,-2.190694677182637,-0.1895747492650999,-2.1758513694035435,-2.1719430987561035,-2.185406282572799,-2.1791187701520283,-1.3061287060635005,-0.4181718931295736,-0.37446860733634457,-0.21075214455093655,-2.1783951191335307,-2.1758513694035435,-2.167879091892495,-0.2550807192791588,1,2,0,-2.1936066368228584,-2.193507868465488,-2.192095713404343
2001-01-19,-2.190549452942394,-2.1913456759239467,-2.1891260137162556,-2.1904327019958965,-0.1895747492650999,-2.1765611586754097,-2.171958944434727,-2.1860397598757495,-2.179758035177228,-1.2714981371812555,-0.41802148412054907,-0.38906335556531596,-0.16983337172297513,-2.1785529200895963,-2.1765611586754097,-2.169169752581397,-0.07193193975953932,1,2,0,-2.190985754325757,-2.193769939928013,-2.1936688233479047
2001-01-22,-2.1850466120978767,-2.1858762989601446,-2.183584738358156,-2.1849298636182466,-0.1895747492650999,-2.177362954844945,-2.171858594917342,-2.185727267246214,-2.1799403897242455,-0.6078738119169647,-0.40033107445267063,-0.3969277747645182,-0.09518378328469042,-2.1798139534708896,-2.177362954844945,-2.1694848982564974,-0.13852502907523176,1,2,0,-2.1907237300624356,-2.191148585323611,-2.1939309416620856
2001-01-23,-2.185832697946504,-2.186657604462799,-2.1843763146122086,-2.18571594911448,-0.1895747492650999,-2.178361913809713,-2.1717635256810244,-2.1855840611049526,-2.1801677421924843,-0.6819925942645406,-0.3870919372922864,-0.4003669525254956,-0.04610112318852412,-2.181813814476393,-2.178361913809713,-2.1694250272784505,-0.08857767153111024,0,2,0,-2.1852198608219253,-2.190886513861086,-2.191309118426714
2001-01-24,-2.190549452942394,-2.1913456759239467,-2.1891260137162556,-2.1904327019958965,-0.1895747492650999,-2.1795974705355317,-2.171800497319338,-2.186190187864495,-2.1807293055850576,-1.092030616124768,-0.3887362939283976,-0.40347256957021627,-0.04240142736717425,-2.1840409877429843,-2.1795974705355317,-2.1696109794959106,-0.17182665484778234,0,2,0,-2.1860060935778614,-2.1853816531923633,-2.1910470001125333
2001-01-25,-2.190025342397948,-2.190824752601017,-2.188598242529169,-2.189908591686404,-0.1895747492650999,-2.180859313227276,-2.171869157091283,-2.186622249000134,-2.181210263944498,-1.028074908056044,-0.38702930304912986,-0.40558929389097875,-0.03143310256067851,-2.1869705332670915,-2.180859313227276,-2.169109578295379,-0.18847746773405766,0,2,0,-2.1907237300624356,-2.1861680275747264,-2.185541155315914
2001-01-26,-2.194480042121615,-2.1952523624007,-2.193084056039673,-2.194363289413074,-0.1895747492650999,-2.1824891955435595,-2.171958944434727,-2.18767473270199,-2.1819871437343057,-1.3771316866187258,-0.39695982322318174,-0.4094221930406941,-0.05046809239591876,-2.1913644641158405,-2.1824891955435595,-2.1678181839132993,-0.15517584196150705,0,2,0,-2.190199521569821,-2.190886513861086,-2.1863276702818473
2001-01-29,-2.194480042121615,-2.1952523624007,-2.193084056039673,-2.194363289413074,0.3888427586579544,-2.1836590313376343,-2.172038167992421,-2.1885652958343296,-2.1827064768730158,-1.3771316866187258,-0.40315054055099175,-0.4138222956271182,-0.05675924145026724,-2.1937264954202487,-2.1836590313376343,-2.167726873763771,-0.42157360479779865,1,2,0,-2.1946550538080882,-2.190362210941248,-2.1910470001125333
